# 形近字映射表
# 格式字符 -> 形近字列表用逗号分隔
# 示例行门 -> 門
# ==================== 繁简体 ====================
几 -> 幾
幾 -> 几
里 -> 裏
裏 -> 里
面 -> 麵
麵 -> 面
台 -> 臺,檯
臺 -> 台,檯
檯 -> 台,臺
国 -> 國
國 -> 国
学 -> 學
學 -> 学
后 -> 後
後 -> 后
发 -> 發,髮
發 -> 发,髮
髮 -> 发,發
门 -> 門
門 -> 门
开 -> 開
開 -> 开
关 -> 關
關 -> 关
内 -> 內
內 -> 内
外 -> 外
见 -> 見
見 -> 见
觉 -> 覺
覺 -> 觉
认 -> 認
認 -> 认
识 -> 識
識 -> 识
这 -> 這
這 -> 这
那 -> 那
哪 -> 哪
么 -> 麼
麼 -> 么
乐 -> 樂
樂 -> 乐
车 -> 車
車 -> 车
东 -> 東
東 -> 东
西 -> 西
书 -> 書
書 -> 书
电 -> 電
電 -> 电
话 -> 話
話 -> 话
马 -> 馬
馬 -> 马
风 -> 風
風 -> 风
龙 -> 龍
龍 -> 龙
鸟 -> 鳥
鳥 -> 鸟
鱼 -> 魚
魚 -> 鱼
猪 -> 豬
豬 -> 猪
猫 -> 貓
貓 -> 猫
