# 数字样式映射表
# 格式数字字符 -> 标准ASCII数字
# 支持各种数字样式统一为0-9
# ==================== 全角数字 ====================
０ -> 0
１ -> 1
２ -> 2
３ -> 3
４ -> 4
５ -> 5
６ -> 6
７ -> 7
８ -> 8
９ -> 9
# ==================== 带圈数字 ====================
⓪ -> 0
① -> 1
② -> 2
③ -> 3
④ -> 4
⑤ -> 5
⑥ -> 6
⑦ -> 7
⑧ -> 8
⑨ -> 9
⑩ -> 0
# ==================== 带括号带圈数字 ====================
⑴ -> 1
⑵ -> 2
⑶ -> 3
⑷ -> 4
⑸ -> 5
⑹ -> 6
⑺ -> 7
⑻ -> 8
⑼ -> 9
⑽ -> 0
# ==================== 带点数字 ====================
⒈ -> 1
⒉ -> 2
⒊ -> 3
⒋ -> 4
⒌ -> 5
⒍ -> 6
⒎ -> 7
⒏ -> 8
⒐ -> 9
⒑ -> 0
# ==================== 中文数字简体 ====================
零 -> 0
一 -> 1
二 -> 2
三 -> 3
四 -> 4
五 -> 5
六 -> 6
七 -> 7
八 -> 8
九 -> 9
十 -> 0
# ==================== 中文数字繁体 ====================
零 -> 0
壹 -> 1
贰 -> 2
叁 -> 3
肆 -> 4
伍 -> 5
陆 -> 6
柒 -> 7
捌 -> 8
玖 -> 9
拾 -> 0
百 -> 0
千 -> 0
万 -> 0
亿 -> 0
